일시,장소,"대상
인원수",금액
"2022-07-07
12:11","반달식당
(동대문구천호대로27길71)",6,"48,000"
"2022-07-07
14:56","동대문구청내카페 도란도란
(동대문구천호대로145)",12,"120,000"
"2022-07-07
20:24","마포주물럭
(고산자로33길15)",3,"30,000"
"2022-07-08
12:11","경성농장
(서울시동대문구용두1동26-1
2)",7,"100,000"
"2022-07-08
20:43","중국성
(동대문구고산자로30길23)",3,"31,000"
"2022-07-12
12:53","경성농장
(용두1동26-12)",7,"63,000"
"2022-07-12
13:02","보신옥
(동대문구홍릉로5길13)",4,"58,000"
"2022-07-12
20:13","평양냉면
(동대문구왕산로29길4)",4,"37,000"
"2022-07-13
12:46","용두동동태탕,동태찜
(동대문구왕산로32길99)",2,"26,000"
"2022-07-15
12:04","수제왕갈비
(서울시동대문구신이문로51
층)",14,"140,000"
"2022-07-15
20:58","가도
(동대문구왕산로28길35)",5,"65,000"
"2022-07-18
12:16","산천가든
(동대문구왕산로32길96)",20,"273,000"
"2022-07-21
20:08","도니족발
(동대문구고산자로30길49)",6,"75,000"
"2022-07-22
20:13","중국성
(동대문구고산자로30길23)",4,"58,000"
"2022-07-25
15:25","홈플러스
(천호대로133)",6,"33,850"
"2022-08-01
12:32","경성농장
(용두1동26-12)",7,"63,000"
"2022-08-01
20:48","빈대떡신사
(동대문구고산자로30길22)",3,"38,000"
"2022-08-02
12:22","참숯갈비화로촌
(고산자로391-8)",5,"44,000"
"2022-08-02
13:07","공릉닭한마리
(동대문구무학로104)",3,"36,000"
"2022-08-02
13:56","지마켓
(강남구역삼동737)",125,"83,600"
"2022-08-03
12:06","우리식당
(동대문구고산자로28가길21)",9,"120,000"
"2022-08-03
20:19","평양냉면
(동대문구왕산로29길4)",4,"37,000"
"2022-08-08
15:18","홈플러스
(동대문구천호대로133)",9,"36,000"
"2022-08-08
15:20","홈플러스
(동대문구천호대로133)",-,"71,680"
"2022-08-08
20:43","남다른 감자탕
(동대문구고산자로406)",4,"44,500"
"2022-08-09
12:11","경성농장
(용두1동26-12)",6,"54,000"
"2022-08-09
20:35","중국성
(동대문구고산자로30길23)",4,"64,000"
"2022-08-10
20:33","고향집
(동대문구왕산로32길80)",4,"30,000"
"2022-08-11
13:02","경성농장
(용두1동26-12)",2,"14,910"
"2022-08-11
20:02","완도횟집
(동대문구고산자로503-2)",4,"75,000"
"2022-08-16
12:56","우리집
(동대문구왕산로249)",3,"21,000"
"2022-08-16
20:32","남원추어탕
(동대문구고산자로28길25-1)",3,"36,000"
"2022-08-17
13:19","어머니 대성집
(동대문구왕산로11길4)",4,"57,000"
"2022-08-19
20:12","참숯갈비화로촌
(동대문구고산자로391-8)",8,"131,000"
"2022-08-22
12:47","청마루
(동대문구왕산로28길15)",5,"100,000"
"2022-08-24
19:03","뉴세로나
(동대문구왕산로32길43)",2,"14,000"
"2022-08-25
12:07","만나네 마라탕
(동대문구고산자로28길25-1)",6,"71,400"
"2022-09-01
12:02","나주곰탕 나주전
(동대문구고산자로428)",5,"50,000"
"2022-09-01
18:46","홈플러스(맘스터치)
(동대문구고산자로133)",5,"37,700"
"2022-09-05
14:31","파리바게트 제기동역점
(동대문구왕산로118)",15,"197,500"
"2022-09-06
14:04","㈜이마트
(성동구뚝섬로377)",7,"122,990"
"2022-09-08
12:07","최강낙지
(서울특별시동대문구고산자로
28길21)",7,"107,000"
"2022-09-14
20:05","청마루
(동대문구왕산로28길15)",6,"113,000"
"2022-09-15
12:28","홈플러스 동대문점
(천호대로133)",30,"17,200"
"2022-09-15
13:29","홈플러스
(동대문구천호대로133)",120,"35,000"
"2022-09-16
12:35","오담과협동조합
(은평구가좌로7나길30)",112,"222,900"
2022-09-18,경조사,1,"50,000"
"2022-09-19
12:39","북카페
(고산자로28길13)",8,"30,300"
"2022-09-20
12:11","성원유황오리
(동대문구신이문로27-7)",8,"104,000"
"2022-09-20
12:17","이디야이문점
(동대문구신이문로19)",8,"22,200"
"2022-09-21
12:27","남원추어탕
(동대문구고산자로28길25-1)",13,"117,000"
"2022-09-21
12:34","북카페
(동대문구고산자로28길13)",13,"42,300"
"2022-09-21
14:51","홈플러스 동대문점
(동대문구천호대로133)",20,"15,920"
"2022-09-22
11:46","송정초밥
(동대문구천호대로126,101호)",8,"150,000"
"2022-09-22
11:58","경성농장
(동대문구왕산로28길19)",6,"65,000"
"2022-09-22
12:01","페이지2726
(고산자로30길13)",5,"27,800"
"2022-09-26
12:10","남원추어탕
(동대문구고산자로28길25-1)",7,"63,000"
"2022-09-26
12:15","북카페
(고산자로28길13)",5,"19,000"
"2022-10-04
12:32","포(PH)420
(동대문구왕산로32길96,2층)",6,"80,000"
"2022-10-05
12:12","찜마을
(동대문구왕산로28길371층)",6,"82,000"
"2022-10-05
12:12","찜마을
(동대문구왕산로28길371층)",6,"82,000"
"2022-10-05
12:19","북카페
(동대문구고산자로28길13)",5,"22,500"
"2022-10-05
12:19","북카페
(동대문구고산자로28길13)",1,"4,000"
"2022-10-05
12:19","북카페
(동대문구고산자로28길13)",5,"22,500"
"2022-10-07
11:59","찜마을
(동대문구왕산로28길37)",6,"79,000"
2022-10-09,경조사,1,"50,000"
"2022-10-11
12:21","나주곰탕나주전
(동대문구고산자로428)",5,"73,000"
"2022-10-11
12:28","북카페
(동대문구고산자로28길13,2층)",5,"15,400"
"2022-10-12
12:26","카페홀릭
(천호대로241)",7,"25,500"
2022-10-14,경조사,1,"50,000"
"2022-10-14
11:08","홈플러스
(동대문구천호대로133)",300,"60,000"
"2022-10-14
19:40","수내닭꼬치
(동대문구고산자로34가길34)",8,"148,000"
"2022-10-17
12:10","홍가네
(동대문구고산자로34길5)",7,"68,000"
"2022-10-17
12:24","커피디셈버
(왕산로32길76)",7,"29,900"
"2022-10-18
12:28","최강낙지
(동대문구고산자로28길21)",10,"110,000"
"2022-10-18
12:32","북카페
(동대문구고산자로28길13)",3,"13,700"
"2022-10-18
13:09","커피디셈버
(동대문구왕산로32길76)",12,"60,000"
"2022-10-18
13:41","홈플러스
(동대문구천호대로133)",-,"16,120"
"2022-10-19
12:40","산천가든
(동대문구왕산로32길96)",4,"60,000"
"2022-10-19
12:41","시그널커피
(왕산로32길99)",3,"12,000"
"2022-11-1
12:06","남원추어탕
(서울동대문구고산자로28
길25-1)",9,"108,000"
"2022.11.02.
12:18","참숯갈비화로촌
(서울동대문구고산자로391-8,1층)",6,"79,000"
"2022-11-07
12:14","찜마을
(동대문구왕산로28길37)",10,"120,000"
"2022-11-08
12:21","산천가든
(서울동대문구왕산로32길9
6,1층)",7,"98,000"
"2022-11-08
14:22","홈플러스 동대문점
(동대문구천호대로133)",20,"33,680"
"2022. 11.
10. 12:22","나주곰탕나주전
(서울시 동대문구 
고산자로 428 1층)",10,"136,000"
"2022-11-11
19:47","미광
(동대문구왕산로26길27)",6,"66,000"
"2022-11-11
11:40","최강낙지
(동대문구고산자로28길21)",15,"211,000"
"2022-11-09
12:28","전주콩나물국밥
(서울동대문구용두동고산
자로397)",15,"170,000"
"2022-11-14
10:43","동대문구청구내카페
(동대문구천호대로145)",40,"120,000"
"2022-11-16
12:14","최강낙지
(동대문구고산자로28길21)",7,"99,000"
"2022-11-16
12:21","우리식당
(동대문구고산자로28가길21)",10,"126,000"
"2022-11-17
11:58","나주곰탕 나주전
(동대문구고산자로428)",5,"50,000"
"2022-11-18
12:38","조가네 부대찌개
(동대문구천호대로126)",7,"66,000"
2022-11-19,경조사,1,"50,000"
"2022-11-21
12:21","카페숲
(동대문구고산자로36길3)",6,"27,000"
"2022-11-21
12:16","안동집
(동대문구고산자로36길3)",8,"87,000"
"2022-11-22
12:18","최강낙지
(서울동대문구고산자로28
길21)",8,"112,000"
"2022-11-23
12:22","송정초밥
(동대문구천호대로126)",14,"150,000"
"2022-11-24
12:06","친친
(동대문구정릉천동로58)",6,"76,000"
"2022-11-25
12:30","전주콩나물국밥
(동대문구고산자로397)",11,"120,000"
"2022-11-25
12:50","친친
(정릉천동로 58)",4,"39,000"
"2022-11-25
12:14","남원추어탕
(동대문구고사자로28길25-
1)",14,"150,000"
"2022-11-28
20:06","수내닭꼬치
(동대문구고산자로34가길34)",7,"113,000"
"2022-11-29
12:09","용두동동태탕
(왕산로32길 99)",4,"40,000"
"2022-11-30
20:17","청마루
(동대문구왕산로28길15)",8,"140,000"
"2022-11-30
12:34","남원추어탕
(동대문구고산자로28길25-1)",5,"44,000"
2022-12-04,경조사,1,"50,000"
