사용일자(일시),사용장소,"사용
금액(원)","대상
인원(명)"
2022-07-01 18:01,커피앳웍스,"74,600",6
2022-07-04 12:15,서울김밥,"50,000",7
2022-07-04 12:40,프리츠 외1,"94,400",9
2022-07-06 12:36,양재정육식당,"466,000",41
2022-07-06 12:41,지세포,"70,000",5
2022-07-12 12:40,진스시,"179,000",8
2022-07-14 11:29,서울김밥,"45,000",6
2022-07-15 14:07,BBQ 치킨,"3,995,000",323
2022-07-18 12:03,난랑,"67,000",5
2022-07-18 12:25,나주곰탕,"330,000",20
2022-07-19 12:34,디안다만 외1,"109,600",5
2022-07-20 21:28,총각수산,"309,000",12
2022-07-21 12:35,더스파게티하우스 외1,"74,900",4
2022-07-21 12:49,명선헌,"140,000",6
2022-07-21 17:39,양지수제샌드위치,"54,000",7
2022-07-22 12:23,갈비사랑 외1,"223,200",10
2022-07-22 12:18,호랑이초밥 외1,"100,800",5
2022-07-25 12:42,석운가든,"160,000",7
2022-07-26 12:38,신수사,"100,000",5
2022-07-27 21:17,난랑,"295,000",20
2022-07-29 17:16,커피베이 외 3,"934,200",160
2022-07-29 12:31,동신참치,"92,000",8
2022-07-29 12:27,돈스라,"41,500",5
2022-07-31 12:44,임병주 산동칼국수,"54,000",6
2022-08-01 12:31,신수사,"306,000",15
2022-08-01 12:13,도라스시 외1,"135,500",7
2022-08-01 20:38,밤나무골,"225,000",12
2022-08-03 16:58,명랑시대 쌀핫도그,"290,500",85
2022-08-08 12:30,영덕집,"130,000",7
2022-08-08 12:33,라그릴리아,"72,200",5
2022-08-09 11:47,서울김밥,"50,500",5
2022-08-09 18:28,본죽&비빔밥,"91,500",10
2022-08-09 18:48,양재순대,"42,000",5
2022-08-10 18:56,난랑,"65,000",8
2022-08-11 18:32,양지수제샌드위치,"73,000",10
2022-08-11 20:01,왕삼돈,"69,000",9
2022-08-12 12:02,본죽&비빔밥,"61,500",8
2022-08-12 12:47,진스시,"56,000",5
2022-08-12 15:00,해당 동주민센터,"17,300,000","18개동
주민센터"
2022-08-12 15:55,현대마트 외3,"839,500",100
2022-08-12 16:58,씨유,"56,900",18
2022-08-13 13:26,소호정,"88,000",8
2022-08-15 12:20,난랑,"39,000",5
2022-08-17 12:12,답다,"112,500",9
