2022년 12월 홍보과 업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
20,담당자,2022-12-16,12:39:58,낙지와볼테기,홈페이지 개선 및 유지관리 업무 관련 간담회,8,"135,000 ",제로페이,시책추진업무추진비
21,담당자,2022-12-16,15:24:37,홈플러스목동점,구정홍보실 비치용 다과류,다과류,"113,970 ",법인카드,시책추진업무추진비
22,담당자,2022-12-19,12:11:29,고기명가,크리스마스 특별 공원문화프로그램 운영 등 구정홍보 간담회,5,"70,000 ",법인카드,시책추진업무추진비
23,담당자,2022-12-19,13:03:06,억조１９７８,‘양천형 지역사회 통합 돌봄’ 보건복지부장관 표창 수상 등 구정 홍보 간담회,3,"48,000 ",법인카드,시책추진업무추진비
24,담당자,2022-12-20,11:46:39,마싯는끼니 목동직영점,상징조형물 현장 점검 관련 등 회의,8,"190,000 ",제로페이,시책추진업무추진비
25,담당자,2022-12-20,19:52:04,놀부부대찌개＆철판구,양천의 어제와 오늘 전시회 개최 등 구정 홍보 간담회,4,"42,000 ",법인카드,시책추진업무추진비
26,담당자,2022-12-21,13:12:45,홍콩반점０４１０　양,「양천구소식」 1월호 기획회의 관련 간담회비,5,"64,500 ",법인카드,시책추진업무추진비
27,담당자,2022-12-21,21:02:07,나주곰탕５７년,용왕산 달빛거리 조성완료 등 구정 홍보 간담회,9,"182,000 ",법인카드,시책추진업무추진비
28,담당자,2022-12-22,12:11:34,조선화로구이,용왕산 달빛거리 조성완료 등 구정 홍보 간담회,4,"52,000 ",법인카드,시책추진업무추진비
29,담당자,2022-12-23,11:36:33,현경목동점,"서울시 양천구, 방범용 CCTV 273대 추가설치 등 구정 홍보 간담회",5,"89,000 ",법인카드,시책추진업무추진비
30,담당자,2022-12-23,12:20:54,금성수제돈까스,「양천구소식」1월호 평가회의 간담회비,5,"48,500 ",제로페이,시책추진업무추진비
31,담당자,2022-12-23,12:34:32,충무횟집,개별공시지가 365일 온라인 의견 청취 서비스 운영 등 구정 홍보 간담회,4,"50,000 ",법인카드,시책추진업무추진비
32,담당자,2022-12-23,15:15:51,（주）이마트목동점,양천디지털미디어센터 기획영상 출연자 간식용 다과,다과류,"89,460 ",법인카드,시책추진업무추진비
33,담당자,2022-12-26,19:57:31,채영진의　명품생고기,공항소음 피해 주민에 3년간 재산세 감면 지원 등 구정 홍보 간담회,5,"101,000 ",법인카드,시책추진업무추진비
34,담당자,2022-12-28,12:06:22,낙지와볼테기,민선8기 구정운영 방향과 역점사업 추진 위한 행정조직 개편 추진 등 구정 홍보 간담회,12,"241,000 ",법인카드,시책추진업무추진비
35,담당자,2022-12-28,12:28:42,투썸플레이스,양천TV 기획영상 제작 등 미디어방송 운영 관련 간담회,7,"33,500 ",법인카드,시책추진업무추진비
