7. 22.(금),종가집양반김밥,2,"17,500"
7. 28.(목),이레향,4,"115,000"
7. 28.(목),채선당,3,"50,600"
7. 28.(목),채선당,29,"710,000"
7. 29.(금),카오룽,4,"56,000"
7. 29.(금),유월식당,6,"48,000"
8. 1.(월),유월식당,4,"32,000"
8. 3.(수),수라냉면,5,"43,500"
8. 11.(목),강강술래 시흥점,5,"130,000"
8. 10.(수),제주살림,4,"101,000"
8. 12.(금),유월식당,6,"48,000"
8. 17.(수),소명생고기,9,"250,000"
8. 18.(목),이화순대국,9,"79,000"
8. 23.(화),돼지집,8,"92,000"
8. 25.(목),차이나 소원,3,"36,000"
8. 25.(목),암소한마리,10,"359,000"
8. 26.(금),본가집가마솥설렁탕,7,"136,000"
8. 26.(금),함께그린카페,7,"19,000"
9. 2.(금),고기원칙,10,"341,500"
9. 5.(월),강강술래 시흥점,5,"167,000"
9. 2.(금),원주옻닭전문점,12,"270,000"
9. 5.(화),롯데마트,-,"181,630"
9. 6.(화),카오룽,6,"76,000"
9. 7.(수),깡통삼겹살,6,"165,000"
9. 8.(목),동우황태북어국,8,"68,000"
9. 15.(목),롯데마트 금천점,25,"77,360"
9. 15.(목),이화순대국,4,"32,000"
9. 22.(목),소용궁,6,"73,000"
9. 22.(목),깡통삼겹살,5,"135,000"
9. 23.(금),피자헛,38,"386,200"
9. 23.(금),도미노피자,23,"213,800"
9. 28.(수),본가집가마솥설렁탕,6,"96,000"
9. 29.(목),분짜하노이,6,"78,000"
10. 06.(목),삼은식당,3,"107,000"
10. 11.(화),마쯔일식,5,"164,000"
10. 13.(목),파리바게뜨,3,"19,200"
10. 14.(금),본가부대찌개양푼갈비,4,"44,000"
10. 15.(토),파리바게뜨,4,"34,500"
10. 15.(토),메가커피,4,"14,900"
10. 16.(일),파리바게뜨,6,"24,000"
10. 17.(월),구구함박,5,"51,000"
10. 19.(수),신원휘생태탕,7,"91,000"
10. 21.(금),이화순대국,6,"51,000"
10. 21.(금),스타벅스,8,"60,500"
10. 27.(목),두더커피,4,"20,000"
10. 27.(목),광양불고기2호점,6,"199,000"
10. 27.(목),우리동네청년초밥,4,"39,600"
10. 28.(금),홍익돈까스,4,"62,900"
11. 3.(목),롯데마트금천점,15,"7,960"
11. 3.(목),뉴달하브레드,15,"78,200"
11. 7.(월),채선당,3,"38,700"
11. 7.(월),소명생고기,7,"105,000"
11. 9.(수),춘천옥,5,"144,000"
11.10.(목),강강술래,4,"148,000"
11. 11.(금),신원휘생태탕,8,"137,000"
11. 15.(화),쿠팡(주),-,"149,510"
11. 15.(화),구포국수,7,"110,000"
11. 17.(목),보승회관,4,"34,000"
11. 16.(수),에그셀런트,6,"34,700"
11. 25.(금),우리동네청년초밥,6,"87,200"
11. 25.(금),실크로드,16,"433,000"
11. 30.(수),무교동낙지샤브칼국수,4,"82,000"
12. 2.(금),롯데마트금천점,13,"29,860"
12. 5.(월),동흥관,13,"202,000"
12. 9.(금),비스트로딤섬,3,"44,000"
12. 9.(금),탐나종합어시장,4,"113,000"
12. 13.(화),분짜하노이,4,"37,500"
12. 14.(수),파리바게트,10,"50,000"
12. 14.(수),통영해물가,10,"250,000"
12. 15.(목),불타는삼겹살,4,"103,000"
12. 15.(목),벨구스토,2,"10,920"
12. 15.(목),금나래식당,17,"260,000"
12. 16.(금),속초코다리찜,6,"81,000"
12. 19.(월),스타벅스,3,"60,000"
12. 20.(화),불타는삼겹살,5,"100,000"
12. 20.(화),카오룽,4,"64,000"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
