일시,장소,금액(원),"대상
인원"
8월,창성옥,"28,500",3
8월,댓잎갈비,"48,000",4
8월,다우리 감자탕,"27,000",3
8월,이조순대국,"24,000",3
9월,하노이별,"32,000",3
9월,원조보리밥수제비,"34,000",5
9월,리지트커피,"18,000",5
9월,나무아래,"27,000",3
9월,장산다방 용산용문점,"19,300",3
9월,멘야산다이메,"25,500",3
9월,쏭타이,"64,000",4
9월,일거양득,"120,000",5
9월,명동교자(이태원지점),"40,000",4
9월,유진본가,"67,000",4
9월,무진장,"11,400",3
9월,리지트커피,"15,000",5
9월,옛날국시,"79,000",8
9월,소담부대찌개,"28,000",3
9월,쏭타이,"108,000",8
9월,열정갈비,"120,000",6
9월,원미정,"24,000",4
9월,고깃집,"30,000",3
9월,댓잎갈비,"36,000",3
9월,나무아래,"27,000",3
9월,무진장,"19,800",5
9월,보광동곤드레쌈밥집,"48,000",4
9월,영광정육식당,"30,000",3
9월,감나무집,"77,000",6
9월,포 하우스,"74,000",6
9월,무진장,"17,000",6
9월,일거양득,"112,000",5
9월,용산양꼬치,"173,000",6
9월,마포홍대포 신용산점,"120,000",4
9월,이태원숯불구이,"60,000",4
9월,무진장,"19,000",5
9월,국방가든,"144,000",7
9월,스테이(stay),"81,600",6
9월,비티엘플러스,"28,800",6
9월,리지트커피,"40,000",4
9월,유진본가,"110,000",7
10월,아톤브루어리,"83,700",5
10월,커피빈,"17,100",5
10월,이태원곰탕,"38,000",4
10월,구름식탁,"55,600",4
10월,스타벅스,"19,600",4
10월,명동교자(이태원지점),"82,000",6
10월,벽돌해피푸드,"63,000",3
10월,다우리 감자탕,"45,000",5
10월,무진장,"20,300",5
10월,부다스벨리,"84,700",5
10월,리지트커피,"13,500",5
10월,댓잎갈비,"116,000",6
10월,바토스 이태원점,"79,500",4
10월,부다스벨리,"104,000",4
10월,맥도날드이태원점,"53,000",6
,,,
11월,리지트커피,"40,300",8
11월,리지트커피,"28,000",6
11월,쟈니덤플링,"55,000",5
11월,리지트커피,"50,000",6
11월,위긴티식스,"19,300",4
11월,위긴티식스,"27,400",5
11월,위긴티식스,"15,600",4
11월,스타벅스,"330,000",11
11월,오근내닭구이2,"62,000",5
11월,무진장,"36,500",7
11월,청송식당,"45,000",5
11월,쏭타이,"72,800",4
11월,곤드레밥&고깃집,"50,000",5
11월,위긴티식스,"22,000",5
11월,청송식당,"49,000",5
11월,유진본가,"73,000",6
11월,스타벅스,"23,800",6
11월,맥도날드이태원점,"46,400",5
11월,곤드레밥&고깃집,"40,000",4
11월,발루토피비,"15,300",3
11월,명동교자(이태원지점),"50,000",5
11월,다우리 감자탕,"45,000",6
11월,(주)디아그라,"95,550",6
11월,리지트커피,"85,000",12
12월,무진장,"50,000",4
12월,베트남돼지,"38,000",3
12월,회나무식당,"98,000",5
12월,커피나인 이태원,"18,500",4
12월,리지트커피,"40,000",4
12월,리지트커피,"163,000",30
12월,㈜기센코리아,"150,300",7
12월,베트남돼지,"140,000",8
12월,경리단578,"37,000",4
12월,유진,"53,800",4
12월,명동교자,"70,000",7
12월,사와강,"140,000",5
12월,무진장,"13,800",3
12월,까페 다미,"53,500",9
12월,이태원쌈밥,"50,000",5
12월,야상해,"30,000",3
12월,곤드레밥&,"60,000",4
12월,댓잎갈비,"72,000",6
12월,㈜왕타이,"101,200",6
12월,"위긴티식스
(WEGINTIXIX)","12,500",3
12월,걸구네,"86,000",7
12월,곤드레밥&,"110,500",9
12월,이디야커피,"13,500",3
12월,"보광동
곤드레쌈밥집","70,000",7
12월,야상해,"64,000",4
12월,왕타이,"68,600",5
12월,리지트커피,"50,000",4
