"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  3월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
109,혁신경영지원팀장,2022-03-31 12:05:05,신의주찹쌀순대,소통행정 업무추진,3,"25,500",제로페이,시책
110,투자심사 담당 주무관,2022-03-31 12:25:24,니뽕내뽕(성신여대점),투자사업심사 준비 관련 업무추진,3,"31,700",제로페이,시책
111,기획재정국장,2022-03-02 12:48:51,커피로드,세외수입 체납징수 업무 추진 직원 격려,3,"7,500",신용카드,기관
112,기획재정국장,2022-03-07 12:08:17,소일,외부평가 수상 우수 직원 격려,6,"23,450",신용카드,기관
113,기획재정국장,2022-03-11 20:19:50,불타는   양대창,"부동산중개업 관리, 실거래 신고제 운영 등 현안업무 추진 직원 격려",6,"158,000",신용카드,기관
114,기획재정국장,2022-03-15 13:11:41,조셉의커피나무,지방세 체납징수 등 현안업무 추진 직원 격려,5,"28,000",신용카드,기관
115,기획재정국장,2022-03-18 16:28:15,꿈꾸는이상   （주）갈,"기획, 예산 실무교육 준비 관련 직원 격려",5,"136,000",신용카드,기관
116,기획재정국장,2022-03-24 11:19:18,이오육   （２５６）,"기획, 예산 실무 교육 추진 관련 직원 격려",3,"15,500",신용카드,기관
117,기획재정국장,2022-03-24 11:18:24,금왕,"기획, 예산 실무 교육 추진 관련 직원 격려",3,"36,000",신용카드,기관
계,,,,,,"6,690,200",,
