"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
75,세입 담당 주무관,2022.11.14.19:52:16,제주고깃집,일반조정교부금 관련 업무추진,8,"152,000",제로페이,시책
76,예산팀장,2022.11.15.12:09:13,카페희다,2023~2027 중기지방재정계획 수립 관련 업무추진,6,"30,700",신용카드,시책
77,기획재정국장,2022.11.15.12:25:59,문화식당,특별교부세 사업 발굴 관련 업무추진,6,"103,000",신용카드,시책
78,공공시설 담당 주무관,2022.11.15.12:34:07,쎄제르,기부채납 부지 공공시설 조성방향 협의 관련 업무추진,6,"33,400",신용카드,시책
79,기획예산과장,2022.11.15.12:38:04,쉐프강,특별교부금 확보 관련 업무추진,5,"69,000",신용카드,시책
80,예산팀장,2022.11.15.14:54:52,네이버파이낸셜,대외재정 확보 관련 업무추진,28,"475,500",신용카드,시책
81,마을기록 담당 주무관,2022.11.15.15:03:26,오늘김밥,주민기록단 운영 관련 업무추진,5,"57,000",제로페이,시책
82,공단 담당 주무관,2022.11.16.11:40:36,성신초밥,공단 이사회 부의안건 관련 업무추진,3,"35,000",제로페이,시책
83,기획재정국장,2022.11.16.12:17:16,맹가네,지적재조사 사업 관련 업무추진,5,"61,000",신용카드,시책
84,기획팀장,2022.11.16.12:26:21,동방,2022 하반기 과제 및 조직 성과평가 관련 업무추진,4,"70,500",제로페이,시책
85,기획팀장,2022.11.16.12:27:44,카페진,2022 하반기 과제 및 조직 성과평가 관련 업무추진,4,"19,000",제로페이,시책
86,미래성북 담당 주무관,2022.11.16.12:33:25,파도의 숲,공공시설 조성방햡 협의 관련 업무추진,5,"55,300",신용카드,시책
87,예산팀장,2022.11.16.12:51:41,마늘과 올리브,2023 서울시비 확보 관련 업무추진,7,"154,500",신용카드,시책
88,대외재정 담당 주무관,2022.11.16.18:18:36,쿠팡㈜,대외재정 확보 관련 업무추진,20,"177,000",신용카드,시책
89,기획예산과장,2022.11.16.20:29:47,상관양꼬치,국시비 사업 발굴 관련 업무추진,8,"198,000",신용카드,시책
90,과제 담당 주무관,2022.11.17.11:53:26,명동칼국수,성과관리 체계 개선 관련 업무추진,3,"28,000",제로페이,시책
91,법제통계팀장,2022.11.17.12:09:25,카페진,소송사무 관련 업무추진,5,"17,000",제로페이,시책
92,법제통계팀장,2022.11.17.16:25:28,포앤시드니,법률자문업무 관련 업무추진,6,"64,000",제로페이,시책
93,동북4구 담당 주무관,2022.11.17.19:58:40,할매숯불닭갈비,동북4구 협의회 운영 관련 업무추진,5,"102,000",제로페이,시책
94,대외재정 담당 주무관,2022.11.18.11:16:30,네이버파이낸셜,대외재정 확보 관련 업무추진,22,"367,500",신용카드,시책
95,법제 담당 주무관,2022.11.18.12:07:51,저스트텐동,법률자문업무 관련 업무추진,5,"40,700",제로페이,시책
96,법제 담당 주무관,2022.11.18.12:13:16,카페구월,소송사무 관련 업무추진,5,"18,000",제로페이,시책
97,예산팀장,2022.11.18.12:55:32,장어세상,대외재정 확보 관련 업무추진,12,"259,000",신용카드,시책
98,대외재정 담당 주무관,2022.11.18.16:49:37,비에스유통,대외재정 확보 관련 업무추진,30,"426,040",신용카드,시책
